sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2021-11-13T03:42:25.382281+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T03:45:05.326522+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-13T03:45:05.326522+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2021-11-13T03:45:05.330613+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T03:45:05.330613+00:00;temperature;13
145;DHT22;3528;-0.286;36.067;2021-11-13T03:47:53.704787+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T03:47:53.704787+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T03:47:53.816745+00:00;P2;25
144;SDS011;3528;-0.286;36.067;2021-11-13T03:47:53.816745+00:00;P1;37
145;DHT22;3528;-0.286;36.067;2021-11-13T03:50:25.653499+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T03:50:25.653499+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T03:50:25.658237+00:00;P2;24
144;SDS011;3528;-0.286;36.067;2021-11-13T03:50:25.658237+00:00;P1;54
144;SDS011;3528;-0.286;36.067;2021-11-13T03:53:06.050449+00:00;P2;30
144;SDS011;3528;-0.286;36.067;2021-11-13T03:53:06.050449+00:00;P1;54
145;DHT22;3528;-0.286;36.067;2021-11-13T03:53:06.053916+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T03:53:06.053916+00:00;temperature;13
145;DHT22;3528;-0.286;36.067;2021-11-13T03:55:46.068616+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T03:55:46.068616+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T03:55:46.068631+00:00;P2;25
144;SDS011;3528;-0.286;36.067;2021-11-13T03:55:46.068631+00:00;P1;43
145;DHT22;3528;-0.286;36.067;2021-11-13T03:58:26.476621+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T03:58:26.476621+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T03:58:26.592545+00:00;P2;23
144;SDS011;3528;-0.286;36.067;2021-11-13T03:58:26.592545+00:00;P1;60
145;DHT22;3528;-0.286;36.067;2021-11-13T04:01:06.416566+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-13T04:01:06.416566+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T04:01:06.420536+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2021-11-13T04:01:06.420536+00:00;P1;23
144;SDS011;3528;-0.286;36.067;2021-11-13T04:03:46.395414+00:00;P2;20
144;SDS011;3528;-0.286;36.067;2021-11-13T04:03:46.395414+00:00;P1;42
145;DHT22;3528;-0.286;36.067;2021-11-13T04:03:46.396441+00:00;humidity;92
